address, tokens
0x8e5Af2f534bD2D066d9dCE061f858f6871906442,	840
0x9fBf2fa81bAC1632490072A998a167C7c5c3FaC4,	10920
0x2ff9d4C044E4a78A3150292C629301843Dc22c84,	11760
0x09C3780eC3cb1e019C4De3a88a73BC096Bc8d9CC,	7560
0x6714158E8Dd86f3E05458674c02634d37EF04951,	14280
0x14e01e80BDbc3C7132B5B55C0920DbD62a0b0F96,	9600
0xCa7B12ff6858Ce2bb4AC13944a00843869e5662d,	9600
0x98b05C9620061b5f7aAa94A1e399f8899A9AaC2a,	11760
0x665555bd747474509c3ad636844FAb16021faA75,	6000
0x0A7e0ADaB784d4CeD209af98510a5F6a7f76B206,	10800
0x8EDdF2b21e18c5D68f6cf33eCD1b69f42D2Bf791,	33600
0x474284C5F3CEcfF3106600C3DdEF92A2ecdb3CC1,	36000
0x6C9D473b1AeDeefa15B4DAC4A71Cc6f1C67C612C,	9840
0xFF6615d1736De928A1A2115035964E3Ec3A5A76C,	600
0xe87FDf05C98fb4D42Ad5096A40AD9dAc8e7Fa59E,	11760
0xC6145952D19F9aA5042e3A26e07C169aE02fCbfe,	11760
0x33BB3061F1BD6C89837502c670a4275Bce610B7B,	10200
0xfB9340013A6020a220E4F42f766058C099B97E12,	3000
0x05e22cfDafEbC0382F7B8143Db8C06B97875B839,	600
0x0BC9129A0517A3daFF8D2768F0dC8b428f259FF2,	3600
0x6ad8E3c4eA463780c2ca7497AA7bA80bD9197046,	4200
0xDB843b5dACbe2d40f0D81621f5e3ab3346eDAc3b,	4200
0xA02bd5282BD4D5c219A41A02A5BD764Fad645DF9,	12000
0x13195A95087285c251693AbfA22763AA2006E5cc,	24000
0xAE87Eb2f7B2D838E17bd56C56093BB3178BA26EA,	7800
0x7096e6aFC8d99Ed713532E674137c5B912882e9f,	23100
0xdfAc4839248E517877177383D11781c180ee730d,	6600
0xE8927D48929430f79eA047Ba5Abe0a7674D15377,	7560
0x87CA2eCdE8536F459C0D6629e172c212BB493cC2,	27000
0x1cFE0C4623A7fA06Ab7CAaf160c4591E4F42B7EB,	7800
0x63619Ae3bE1cd08B425Bd5B2477C410c4F56c3cc,	9000
0x63C7069F32487534879740a2A1dAE87CCc2940DA,	9000
0x01257DC919aB3ee3667a5b522ac215Bf3c874bb9,	9000
0x632B659361cbf775a6C26e0b476f691E3DB269B3,	18000
0xC23C62bd3Fb15D75d999c2C19E4a0141Bcf18E93,	2400
0xF8909307C8d84569ECa0d850596c18eC8098C4e7,	3600
0x2C3f54307b523efAE4456faCc412A3F798daB264,	11760
0x6FfF366a2B8b52ddC137f8A6a7B5b89D07aD345D,	8400
0x4F48EDB9e057c115276945450C18e298C0E33186,	8400
0xD99A43595E9c6f4bc1adBC7f2904E0c197C92566,	1800
0x96ff61067E0165a46342Ebd8847aA4C7666A8DBc,	1800
0xb36E55d9bA4657561072ff3cE45f7D2dF9761954,	1800
0xb36E55d9bA4657561072ff3cE45f7D2dF9761954,	1800
0xe8dA16b155F67009af32b4A538F1e7b044F0c3DA,	1200
0x5a49B60EDe9203E35e0273B6711EeD4398C4bBC1,	2400
0x91fb5bA708554bb1CC03913f9Acc8F58b378C19b,	1800
0xF2231e9Da2304fEB657C5EF9081E4045c4D89F1e,	1800
0xcC93d5A706C9FEA813aF303d2638058e22CACb44,	1800
0x76a08A1Dc3D32206e2109f5492afA0D1234b5C9D,	1800
0xfb381aDf600C2a02F8388C750587e0eceb0A7772,	5400
0x4311667A3b82136b7E623944F7c69FfC52FCa0EC,	10920
0xE08a8e6f5BfBc2F8F4A8803Bc115F9FCD606FF7e,	21600
0x096B7CaF693E736F47E067d56F8F60Fc7faa2537,	3600
0xC71fc593f0ADbD142415070b2863B64CB56591D0,	8400
0x86EbA09a09F523bF921d59174C36f081A6Ca2FC5,	7500
0x3e31EA3849582B1881ba7b0891d1D2C9f9eC18b0,	7200
0xD8304C1848B8A30928600631DE20CA6561D89677,	18000
0x0381E76deccA284691308c37eEb3757d909fC8De,	10080
0xd52F12fB8529E80dFcB701d5999b09Bba17b210b,	1680
0x950e296833EC052637bbD785184B4D9551943d5c,	13500
0x8f135432E01056659e94D758384acE01642C4c0B,	1200
0xD3f4Eb8Aaa67CcBC6BA3957bc77190Ac47B2B573,	400
0x0c8C0A9Fce13fdf6f00CFa2642908523BC5A94B7,	560
0xba3Aa928F94B7b4599e2F5e05F4F64C973bC6D4b,	560
0x248D2B9100B27Ce6C3812Ddf20605e9BF3eC4750,	10000
0xbA19374F96D25e29fF27eA756D0C9DAaca75Cc32,	1200
0xf9ca6a42429a822c1ea6a183ed103a2f766f5a4b,	1120
0x4564491D4C0BFbdfF0aeDf363BcfD678e2330b12,	400
0x15c5dDE5B54ff5673485088Daa09B87398f451fa,	800
0xf6AE8e56C8cf1Cf051d7D2bE0CDdFF10d69c5706,	337.2394404
0x8b7f09D0198eD5e535B531A2E3BE64c8DeF52BB4,	539.5831046
0x783E1F3896ae3cEbACBB99A4b82E80431A57B811,	1348.957762
0x2A649f104A259FC12883a54b84BD3c1dcBD9F640,	134.8957762
0x9929073c79557352fbF512E34c4C33f4838eFFe8,	472.1352165
0x429c747c294B82027bDc62dE26faA8A6D10D9E19,	1348.957762
0x67Dbce9A4CeE794d655DcaE25c870Bad4A8dB2a4,	67.44788808
0x66dD06c443100d8660CEB936b30bA69FC0f2756E,	1214.061985
0xEe29B1a438ccB350a5712FE31b8dC10c2094AE8A,	1483.853538
0x4254CD348041c439B86c37C51dAABcf9166b1735,	1955.988754
0x1fefb1e64313c8cf9aef6215797d3f264cacba18,	337.2394404
0xf087E3a13449eDD0eEE6008418f319683dF2Ea59,	876.822545
0x41fd2b3D3c5F9BF126106c8C08F2D9FFcEfdAF42,	674.4788808
0x6C716B6A1d36C881c43Fa493AacD2609D52E9ce1,	67.44788808
0xD0927d55B298Dc00e7f33ea0097B841c46b1BFb1,	1207.317197
0x59F8C971e5b563fc9e4308a0AE0FAaDCF82B2E0c,	1483.853538
0x31a570a588DC86fAeB45057e749533FB0cD9622d,	202.3436642
0x46C377168355dAf22b0Af21B7f4b45A5450983F9,	1011.718321
0xE6ff1eE7eb347d4B04d692d50283C1799ddC1f1b,	1079.166209
0xf6927FDeC1f8120B23265Eb5dB4cBFF52403cDBD,	101.1718321
0x6cC849Af4DeEE4F5B3c865b4Cd8324B90753dDEB,	741.9267688
0x108FA77618181D51039EE05eFfb1aA527Df9F956,	607.0309927
0x2848b7378A9819d89e5A46e4202cd5338ED74761,	809.3746569
0x173a3dF49A4e00C43FEbF955124b058C947CDBed,	809.3746569
0xb8c1edB025De8Ea2180Ada99CEbf6c986A3e637e,	337.2394404
0x4dB92A95D518F65DB217250413D60D7bf96ad7a9,	128.1509873
0x233F0dd15867FabC5195deb251eB68432FcafD98,	134.8957762
0xdC3CBd12Af79289F36e363af7d2145bD4E627dcD,	1348.957762
0x63b28d191df64f3a119bbe65DFc5C48857bCE4e5,	1483.853538
0x36A3A19b64b795a3572Ad89b82502D6c856d7000,	944.2704331
0xE6863861818c31bad6Fc3e38d0A236f73BC1c6c0,	269.7915523
0x806D60C77ECD624bD3fa68d88e98A5CC3115B522,	1483.853538
0xE5520B0b36402192BD5F992d7Da495F59607cEE4,	13.48957762
0xff33f5701D4E214BEE95D8F59Be0b77fbD849aB5,	607.0309927
0xb604D74160B09D9972B73910Dba937E037E60270,	202.3436642
0x2504e360091a4e9Af1D54555fC5B107405AC4ADa,	539.5831046
0x88e6249B8e1EDB47Ba96603d9E61443ABaD2eeEb,	1011.718321
0x31ba21449ceAbE0e9C50A08d6f707799D92dA48F,	876.822545
0xB74a1C06215EDA3D6e4c17139DB31c184AF09c52,	1483.853538
0xf0b9E60d0e00cC6bCB83e2b33cbD71E7a675fF8D,	20.23436642
0x7fe7fe8663794cA6Cc3b6BB4680bCE03c026Aa3a,	539.5831046
0x24555061B2C20b4f292510Fd84f79EdEaC76e1F5,	1348.957762
0x17d1B413fF27DAcbE5a8db2DcB7f0738e4d51afb,	269.7915523
0x8021f788A36b89e8391cfA721092e8FB4c5b43b1,	1146.614097
0x030a0FA27ab4e3FD1B0e531dFf5aE436e206aD3C,	607.0309927
0x7d5665bCc08dB222937b48cAb727c9AF0e5CFE82,	1551.301426
0x0c05B440703082f5655cB5758ceb4e199A291e05,	1618.749314
0x0118F315719c7Ff1A9dB83b9b645EcA9B15F77dd,	67.44788808
0xFd6aBa2De79707E853ef649555EA35A97E2a6217,	337.2394404
0x822b5EbA85f2428e138cAB1bf3C8df375Fbfa17C,	269.7915523
0xdEB17a18c8Fe6BB8d2B845F9d2ace6dc4C9fd7f1,	674.4788808
0x2F549E091e720159750eEc281f27a9bf23e55364,	269.7915523
0x5B45b084Ea96c0Fd31647B1eEBA820aB80179c31,	67.44788808
0xEaBF0a3a43A30E6Ebe2a77981a59b51F17A221Ee,	1214.061985
0xB4e689Be85ba3eEcfcFe3Dc9D8E2C2D5177FBf35,	445.1560613
0x0ED7a743485a8d0a82D2d109104b7fECa5B5DA98,	6.744788808
0x063d594b8C9bF065A55dF1a89AEfB58F07e1d62D,	337.2394404
0x2E02ca6b4f8Ee3060CeFc6fBFb9c2E6dc76B0F35,	134.8957762
0x5cdBb76121720F61c335558a60D372fB75413ff5,	13.48957762
0x07CF4f0275F852539CaF21d26d6d9E56ef0c1f9A,	944.2704331
0x8B2180c8EeBb9edFCc1F532AB8Efe51EBa6b5253,	1011.718321
0xdce7eB71870B413768cB8076075cB9c90fA5351d,	134.8957762
0x371a173cd15C49431E090de404De447BC43C9B18,	1483.853538
0x02b81DeB5F154A9622ae0f5F4ef2F4fD68dC2272,	67.44788808
0x9122f5A2eBE6EC75A00CcCd49749fBE9f537c3ed,	1099.400576
0x9692efcb1baF875f72342980Ee742352Dcb35B20,	741.9267688
0xc6B2d1188D9B4d969f5a1c5EfA593f31e37D20a3,	404.6873285
0xcDc1A76c8A80ca81dD97876CAD169944cFA1D67f,	222.5780306
0xFF6615d1736De928A1A2115035964E3Ec3A5A76C,	674.4788808
0x4897455C09D467601cA05c16655063f56107314f,	809.3746569
0x9271CDBff125F5CEB9Bf7059903aF9F5afA3880,	47.21352165
0x7CDa428A58a2c4BBbb2E53F2b79B6cFB3AB8e66e,	607.0309927
0x56A660EA3DC28Db18197185a78b74c7507867740,	1618.749314
0x9e3BA901e2D02a448Da6056083b6E96d6D9Df070,	269.7915523
0x131A6BF2260eE5387dF20929c04E5B30DdfaD381,	741.9267688
0x83832A19318757C7a15d5379B8b923baA1D30463,	1686.197202
0xc9c23D407c1F0B413016B360ed501FbBd8D30c7c,	1079.166209
Signature 3336 and Twitter 663, -
